ValueDate,TheValue
23/03/2013,5
22/03/2013,5
21/03/2013,5
20/03/2013,5
19/03/2013,5
18/03/2013,5
16/03/2013,5
15/03/2013,5
14/03/2013,5
13/03/2013,5
12/03/2013,5
11/03/2013,5
09/03/2013,5
08/03/2013,5
07/03/2013,5
06/03/2013,5
05/03/2013,5
04/03/2013,5
02/03/2013,5
01/03/2013,5
28/02/2013,5
27/02/2013,5
26/02/2013,5
25/02/2013,5
23/02/2013,5
22/02/2013,5
21/02/2013,5
20/02/2013,5
19/02/2013,5
18/02/2013,5
16/02/2013,5
15/02/2013,5
14/02/2013,5
13/02/2013,5
12/02/2013,5
11/02/2013,5
09/02/2013,5
08/02/2013,5
07/02/2013,5
06/02/2013,5
05/02/2013,5
04/02/2013,5
02/02/2013,5
01/02/2013,5
31/01/2013,5
30/01/2013,5
29/01/2013,5
28/01/2013,5
26/01/2013,5
25/01/2013,5
24/01/2013,5
23/01/2013,5
22/01/2013,5
21/01/2013,5
19/01/2013,5
18/01/2013,5
17/01/2013,5
16/01/2013,5
15/01/2013,5
14/01/2013,5
12/01/2013,5
11/01/2013,5
10/01/2013,5
09/01/2013,5
08/01/2013,5
07/01/2013,5
05/01/2013,5
04/01/2013,5
03/01/2013,5
02/01/2013,5
