ValueDate,TheValue
17/01/2017,7
16/01/2017,7
13/01/2017,7
12/01/2017,7
11/01/2017,7
10/01/2017,7
09/01/2017,7
06/01/2017,7
05/01/2017,7
04/01/2017,7
03/01/2017,7
30/12/2016,7
29/12/2016,7
28/12/2016,7
23/12/2016,7
22/12/2016,7
21/12/2016,7
20/12/2016,7
19/12/2016,7
15/12/2016,7
14/12/2016,7
13/12/2016,7
12/12/2016,7
09/12/2016,7
08/12/2016,7
07/12/2016,7
06/12/2016,7
05/12/2016,7
02/12/2016,7
01/12/2016,7
30/11/2016,7
29/11/2016,7
28/11/2016,7
25/11/2016,7
24/11/2016,7
23/11/2016,7
22/11/2016,7
21/11/2016,7
18/11/2016,7
17/11/2016,7
16/11/2016,7
15/11/2016,7
14/11/2016,7
11/11/2016,7
10/11/2016,7
09/11/2016,7
08/11/2016,7
07/11/2016,7
04/11/2016,7
03/11/2016,7
02/11/2016,7
01/11/2016,7
31/10/2016,7
28/10/2016,7
27/10/2016,7
26/10/2016,7
25/10/2016,7
24/10/2016,7
21/10/2016,7
20/10/2016,7
19/10/2016,7
18/10/2016,7
17/10/2016,7
14/10/2016,7
13/10/2016,7
12/10/2016,7
11/10/2016,7
10/10/2016,7
07/10/2016,7
06/10/2016,7
05/10/2016,7
04/10/2016,7
03/10/2016,7
30/09/2016,7
29/09/2016,7
28/09/2016,7
27/09/2016,7
26/09/2016,7
23/09/2016,7
22/09/2016,7
21/09/2016,7
20/09/2016,7
19/09/2016,7
16/09/2016,7
15/09/2016,7
14/09/2016,7
13/09/2016,7
12/09/2016,7
09/09/2016,7
08/09/2016,7
07/09/2016,7
06/09/2016,7
05/09/2016,7
02/09/2016,7
01/09/2016,7
31/08/2016,7
30/08/2016,7
29/08/2016,7
26/08/2016,7
25/08/2016,7
24/08/2016,7
23/08/2016,7
22/08/2016,7
19/08/2016,7
18/08/2016,7
17/08/2016,7
16/08/2016,7
15/08/2016,7
12/08/2016,7
11/08/2016,7
10/08/2016,7
09/08/2016,7
08/08/2016,7
05/08/2016,7
04/08/2016,7
02/08/2016,7
01/08/2016,7
29/07/2016,7
28/07/2016,7
27/07/2016,7
26/07/2016,7
25/07/2016,7
22/07/2016,7
21/07/2016,7
20/07/2016,7
19/07/2016,7
18/07/2016,7
16/07/2016,7
15/07/2016,7
14/07/2016,7
13/07/2016,7
12/07/2016,7
11/07/2016,7
08/07/2016,7
07/07/2016,7
06/07/2016,7
05/07/2016,7
04/07/2016,7
01/07/2016,7
30/06/2016,7
29/06/2016,7
28/06/2016,7
27/06/2016,7
24/06/2016,7
23/06/2016,7
22/06/2016,7
21/06/2016,7
20/06/2016,7
17/06/2016,7
15/06/2016,7
14/06/2016,7
13/06/2016,7
10/06/2016,7
09/06/2016,7
08/06/2016,7
07/06/2016,7
06/06/2016,7
03/06/2016,7
02/06/2016,7
01/06/2016,7
31/05/2016,7
